n	cost	search-status	sequence
4539	10	upper-bound	[<< 3, +1, << 3, -1, << 3, -1, << 2, +1, << 1, +1]
4540	7	upper-bound	[<< 3, +1, << 3, -1, << 4, -1, << 2]
4541	8	upper-bound	[<< 3, +1, << 3, -1, << 4, -1, << 2, +1]
4542	7	upper-bound	[<< 3, +1, << 3, -1, << 5, -1, << 1]
4543	6	upper-bound	[<< 3, +1, << 3, -1, << 6, -1]
4544	5	upper-bound	[<< 3, +1, << 3, -1, << 6]
4545	6	upper-bound	[<< 3, +1, << 3, -1, << 6, +1]
4546	7	upper-bound	[<< 3, +1, << 3, -1, << 5, +1, << 1]
4547	8	upper-bound	[<< 3, +1, << 3, -1, << 5, +1, << 1, +1]
4548	7	upper-bound	[<< 3, +1, << 3, -1, << 4, +1, << 2]
4549	8	upper-bound	[<< 3, +1, << 3, -1, << 4, +1, << 2, +1]
4550	9	upper-bound	[<< 3, +1, << 3, -1, << 4, +1, << 1, +1, << 1]
4551	8	upper-bound	[<< 3, +1, << 3, -1, << 3, +1, << 3, -1]
4552	7	upper-bound	[<< 3, +1, << 3, -1, << 3, +1, << 3]
4553	8	upper-bound	[<< 3, +1, << 3, -1, << 3, +1, << 3, +1]
4554	9	upper-bound	[<< 3, +1, << 3, -1, << 3, +1, << 2, +1, << 1]
4555	10	upper-bound	[<< 3, +1, << 3, -1, << 3, +1, << 2, +1, << 1, +1]
4556	9	upper-bound	[<< 3, +1, << 3, -1, << 3, +1, << 1, +1, << 2]
4557	10	upper-bound	[<< 3, +1, << 3, -1, << 3, +1, << 1, +1, << 2, +1]
4558	9	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 3, -1, << 1]
4559	8	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 4, -1]
4560	7	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 4]
4561	8	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 4, +1]
4562	9	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 3, +1, << 1]
4563	10	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 3, +1, << 1, +1]
4564	9	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 2, +1, << 2]
4565	10	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 2, +1, << 2, +1]
4566	11	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 2, +1, << 1, +1, << 1]
4567	10	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 1, +1, << 3, -1]
4568	9	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 1, +1, << 3]
4569	10	upper-bound	[<< 3, +1, << 3, -1, << 2, +1, << 1, +1, << 3, +1]
